ticker,sector,sector_etf,signal,close,qv_score,fi_score,theme_score,f_score,fund_composite,rs_rating,trend_template,not_extended,breakout,volume_ok,exit_active,exit_reasons,entry_reasons,entry_blockers,fi_flags,pct_above_sma50,high_52w,low_52w
MDLZ,Consumer Defensive,XLP,SALIDA,61.869998931884766,16.27906976744186,-20.0,16.666666666666664,0,24.678294573643413,46.019417475728154,False,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],['No extendida (7% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Fuerza relativa insuficiente (RS 46)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],0.06888438298203384,68.94795989990234,51.06785202026367
APD,Basic Materials,XLB,SALIDA,300.2099914550781,5.62015503875969,-20.0,33.33333333333333,0,24.58139534883721,61.359223300970875,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (4% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'Fuerza relativa insuficiente (RS 61)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],0.03825392786827693,303.92999267578125,227.66041564941406
WBD,Communication Services,XLC,SALIDA,27.200000762939453,8.527131782945736,-20.0,27.77777777777778,0,24.355297157622736,94.36893203883496,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']","['No extendida (-1% sobre SMA50)', 'Fuerza relativa alta (RS 94/100)']",['Sin breakout reciente sobre resistencia'],"['Revisiones de analistas a la baja', 'Miss consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",-0.009958619540287254,29.979999542236328,8.430000305175781
ARES,Financial Services,XLF,SALIDA,123.86000061035156,1.3565891472868217,20.0,11.11111111111111,0,24.320413436692508,13.398058252427184,False,True,True,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['No extendida (12% sobre SMA50)', 'Línea de fuerza relativa en máximos']","['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 13)', 'Breakout sin confirmación de volumen']","['Revisiones de analistas al alza', 'Miss consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",0.12219711077421179,187.76791381835938,95.20386505126953
WMT,Consumer Defensive,XLP,SALIDA,130.0800018310547,5.426356589147287,0.0,16.666666666666664,0,23.837209302325583,72.81553398058253,True,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']","['Patrón de tendencia alcista (Stage 2)', 'No extendida (3% sobre SMA50)']","['Fuerza relativa insuficiente (RS 73)', 'Sin breakout reciente sobre resistencia']",[],0.0328115114166786,133.61578369140625,93.64690399169922
ALB,Basic Materials,XLB,SALIDA,192.61000061035156,2.5193798449612403,-20.0,33.33333333333333,0,23.34108527131783,96.89320388349515,True,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (7% sobre SMA50)', 'Fuerza relativa alta (RS 97/100)']",['Sin breakout reciente sobre resistencia'],['Margen bruto en contracción'],0.07185780596910786,215.6199951171875,54.13961410522461
NVR,Consumer Cyclical,XLY,SALIDA,6099.7998046875,17.248062015503876,-40.0,22.22222222222222,0,22.95478036175711,11.844660194174757,False,True,False,False,True,"['Stop ATR roto: cierre 6099.80 < trailing stop 6636.32', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-9% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 12)', 'Sin breakout reciente sobre resistencia']","['Revisiones de analistas a la baja', 'Margen bruto en contracción']",-0.08670220620592178,8543.0,5932.1201171875
INSM,Healthcare,XLV,SALIDA,137.08999633789062,0.9689922480620154,20.0,5.555555555555555,0,22.776485788113696,65.0485436893204,False,True,False,False,True,"['Stop ATR roto: cierre 137.09 < trailing stop 148.26', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-6% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 65)', 'Sin breakout reciente sobre resistencia']","['Revisiones de analistas al alza', 'Miss consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",-0.06093222846521645,211.41000366210938,65.08000183105469
SBUX,Consumer Cyclical,XLY,SALIDA,106.44000244140625,6.2015503875969,-20.0,22.22222222222222,0,22.036175710594314,76.31067961165049,True,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (9% sobre SMA50)']","['Fuerza relativa insuficiente (RS 76)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],0.09286029022440528,106.44000244140625,77.39810180664062
BRK-B,Financial Services,XLF,SALIDA,469.8299865722656,3.6821705426356592,0.0,11.11111111111111,0,21.75064599483204,29.902912621359224,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-2% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Fuerza relativa insuficiente (RS 30)', 'Sin breakout reciente sobre resistencia']",[],-0.022856408644750394,518.219970703125,459.1099853515625
LYB,Basic Materials,XLB,SALIDA,73.4800033569336,6.976744186046512,-40.0,33.33333333333333,0,21.624031007751938,89.32038834951457,True,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (3% sobre SMA50)', 'Fuerza relativa alta (RS 89/100)']",['Sin breakout reciente sobre resistencia'],"['Revisiones de analistas a la baja', 'Margen bruto en contracción']",0.02591203920947235,82.37999725341797,40.700679779052734
BAX,Healthcare,XLV,SALIDA,16.979999542236328,15.503875968992247,-20.0,5.555555555555555,0,21.59043927648579,8.54368932038835,False,True,False,False,True,"['Stop ATR roto: cierre 16.98 < trailing stop 17.02', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-4% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 9)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],-0.03890764652806699,31.466880798339844,15.800000190734863
